poseodom.x poseodom.y markerPose1.x markerPose1.y markerPose2.x markerPose2.y markerPose3.x markerPose3.y markerPose4.x markerPose4.y PoseAver.x PoseAver.y
2.08743 0.875281 2.09708 1.25125 2.45506 -0.114837 2.32246 0.906195 0 0 2.08743 0.875281
2.0053 0.629511 1.71605 0.936281 1.73599 0.220266 3.23516 0.303765 0 0 2.0053 0.629511
1.22628 0.90325 1.14485 1.00223 2.00384 0.698628 0.687018 0.784338 0 0 1.22628 0.90325
2.02347 1.00339 1.99732 1.02762 2.6453 -0.174427 1.60573 1.21054 0 0 2.02347 1.00339
1.15053 0.620149 1.63795 0.90348 1.6653 1.20912 1.18322 0.959302 0 0 1.15053 0.620149
1.62869 1.08271 1.78926 1.04647 2.29311 0.184902 0.501488 1.04599 0 0 1.62869 1.08271
2.08418 0.706523 2.08311 1.01483 2.66639 -1.31368 1.92871 0.85147 0 0 2.08418 0.706523
1.79368 0.973136 1.58982 0.915355 0.0463757 1.6261 3.57365 -0.241134 0 0 1.79368 0.973136
1.28316 0.858245 1.61173 0.885176 0.982172 1.42965 0.35467 0.614698 0 0 1.28316 0.858245
1.63092 0.87661 1.40656 1.00323 2.0807 0.414223 1.79378 0.780594 0 0 1.63092 0.87661
1.40358 0.887412 1.58034 0.88823 -2.26092 1.53244 3.55035 0.0429712 0 0 1.40358 0.887412
1.9927 1.29607 2.06575 1.23409 1.17759 1.15814 2.43253 1.08135 0 0 1.9927 1.29607
1.33463 0.708548 1.7174 0.888974 1.09213 1.41684 1.50221 0.845246 0 0 1.33463 0.708548
1.95101 0.811537 1.98003 0.994028 1.57786 0.12415 2.58322 0.712917 0 0 1.95101 0.811537
1.52328 0.676234 1.47594 0.796601 2.27133 0.205599 1.15475 1.01409 0 0 1.52328 0.676234
2.26094 0.70702 1.94763 1.10891 2.66276 -0.30329 3.37398 -0.00194253 0 0 2.26094 0.70702
1.09256 1.03212 1.52602 0.861614 -0.020308 1.78771 0.458771 0.871412 0 0 1.09256 1.03212
1.36971 0.853145 1.54987 0.852097 0.156728 1.70467 2.10092 0.843755 0 0 1.36971 0.853145
1.49823 0.892258 1.44155 0.894277 1.89926 1.00175 1.61939 1.00396 0 0 1.49823 0.892258
1.43831 0.851929 1.66192 0.894333 1.28968 1.1461 0.836869 0.986392 0 0 1.43831 0.851929
1.90375 0.760235 1.75438 0.942298 2.17251 0.679518 2.34959 0.681768 0 0 1.90375 0.760235
1.00757 1.01309 0.635766 1.08829 -0.878208 2.06102 3.09027 0.412744 0 0 1.00757 1.01309
1.71774 0.673922 1.64251 0.855939 2.20428 -0.660267 1.8457 0.878123 0 0 1.71774 0.673922
2.30419 0.611583 2.27486 1.23979 2.69725 -1.68916 2.89569 0.34934 0 0 2.30419 0.611583
1.77245 0.691608 1.44897 0.743102 1.05854 1.01576 3.08257 0.121308 0 0 1.77245 0.691608
1.1005 0.951988 1.26534 0.798437 0.265044 2.04271 0.857969 0.725829 0 0 1.1005 0.951988
1.63127 1.10126 1.98266 1.1254 1.65398 0.495428 0.550499 1.15295 0 0 1.63127 1.10126
1.51525 0.736988 1.41189 0.882629 2.37525 -0.552443 0.743309 0.883134 0 0 1.51525 0.736988
1.53684 1.14655 1.67255 0.868585 1.12018 1.09445 1.31789 0.911522 0 0 1.53684 1.14655
1.49349 0.975078 2.31528 1.27419 0.579714 1.45818 0.620096 0.777929 0 0 1.49349 0.975078
1.83866 0.952836 1.33754 0.898747 1.16194 1.55101 4.14807 -0.645302 0 0 1.83866 0.952836
1.61138 0.787932 1.27405 0.943674 2.02758 0.39635 2.49532 0.787681 0 0 1.61138 0.787932
1.60807 0.603438 1.40995 0.852895 1.51291 0.556578 2.64334 0.347711 0 0 1.60807 0.603438
1.04186 0.812767 1.36472 0.82481 1.57732 0.751969 -0.561995 0.491602 0 0 1.04186 0.812767
1.79461 0.949706 1.84696 1.02236 1.19948 0.633581 2.31382 0.713393 0 0 1.79461 0.949706
0.769926 1.21908 0.763597 0.96075 0.499647 1.53065 0.171096 0.75379 0 0 0.769926 1.21908
1.43472 0.230998 1.58916 0.751875 2.60707 -1.33875 1.35959 0.797885 0 0 1.43472 0.230998
1.68306 0.654172 1.74103 0.956639 1.28758 0.70275 2.23733 0.398272 0 0 1.68306 0.654172
1.40041 1.15409 1.6945 0.880567 0.925689 1.27445 0.645231 0.63324 0 0 1.40041 1.15409
0.829604 0.663195 1.19951 0.860573 0.778325 1.57505 0.318446 0.607205 0 0 0.829604 0.663195
1.68074 1.18511 1.36741 0.794242 1.73389 0.58864 2.84453 0.486226 0 0 1.68074 1.18511
1.54671 1.1311 1.63708 0.846164 1.35494 1.09391 1.54532 0.828096 0 0 1.54671 1.1311
1.26914 1.27973 1.47706 0.88263 -0.382738 2.17032 1.5193 0.681513 0 0 1.26914 1.27973
1.86209 0.927071 2.10825 1.05188 2.00154 0.302066 1.43602 1.01354 0 0 1.86209 0.927071
1.31259 0.540933 1.06031 0.758747 1.89739 0.153267 1.65937 0.675358 0 0 1.31259 0.540933
1.53884 0.737686 2.21545 1.15038 1.70006 0.698211 0.500834 1.15056 0 0 1.53884 0.737686
0.630282 1.14446 0.655332 1.19904 -1.38454 2.13144 1.30341 0.804816 0 0 0.630282 1.14446
1.69097 0.408361 1.65613 0.846519 1.62788 -0.0918787 2.50064 0.353144 0 0 1.69097 0.408361
0.859209 0.736633 0.946816 0.97259 1.38997 1.12395 0.22667 0.609309 0 0 0.859209 0.736633
1.42636 1.06351 1.35233 0.788328 2.41557 -0.730052 1.19632 0.767477 0 0 1.42636 1.06351
1.27766 0.568303 1.18702 0.926926 2.65188 -1.35177 0.552536 0.436224 0 0 1.27766 0.568303
1.46678 0.645337 1.56293 0.822356 1.61297 0.693408 1.63226 0.663723 0 0 1.46678 0.645337
1.47699 0.838361 1.77019 0.897551 0.375404 1.66531 2.01547 0.802025 0 0 1.47699 0.838361
1.91281 0.704835 2.10813 0.925373 2.26148 -0.612292 1.26802 0.808108 0 0 1.91281 0.704835
0.888627 0.740516 1.08417 0.826344 0.0104605 1.4167 0.845264 0.535355 0 0 0.888627 0.740516
1.36958 0.846358 0.783618 0.951188 1.48972 0.322015 2.38468 0.386735 0 0 1.36958 0.846358
1.24573 0.839748 0.646734 0.966635 1.51354 0.105811 2.08802 0.691544 0 0 1.24573 0.839748
0.560099 0.595444 0.479887 1.06247 1.44463 0.530131 -0.557019 -0.427564 0 0 0.560099 0.595444
1.47134 0.734967 1.39285 0.67513 1.92816 -0.0429549 1.23868 0.779224 0 0 1.47134 0.734967
1.81195 0.751008 1.8614 0.95443 1.6666 0.125561 2.16747 0.51427 0 0 1.81195 0.751008
1.38641 1.03633 1.39827 0.625415 0.0537036 1.82184 2.08137 0.551914 0 0 1.38641 1.03633
1.58449 0.470976 1.44573 0.824463 1.87295 -0.128675 2.09645 0.53685 0 0 1.58449 0.470976
1.24223 0.837151 1.75689 0.815461 0.38853 1.38365 0.666047 1.04105 0 0 1.24223 0.837151
1.62229 0.633916 1.49385 0.659169 2.54725 -0.451868 1.43868 0.720682 0 0 1.62229 0.633916
0.88807 0.644962 1.34001 0.820326 0.393404 1.40845 1.16974 0.884678 0 0 0.88807 0.644962
1.51217 0.56036 1.66295 0.717355 -0.00462688 1.30683 2.99573 0.208944 0 0 1.51217 0.56036
0.865452 0.772222 1.41248 0.68733 -1.59926 1.52921 1.33994 0.776108 0 0 0.865452 0.772222
1.0871 0.536449 2.21215 1.08979 1.14269 0.958005 -0.599482 0.0230048 0 0 1.0871 0.536449
1.16276 0.750465 0.923714 0.747287 1.69598 0.368348 1.03705 0.82557 0 0 1.16276 0.750465
