poseodom.x poseodom.y markerPose1.x markerPose1.y markerPose2.x markerPose2.y markerPose3.x markerPose3.y markerPose4.x markerPose4.y PoseKalman.x PoseKalman.y
-1.69996 0.0810811 0.568083 0.770478 0.623178 0.98199 1.21569 0.563807 0 0 0.373047 0.369231
-1.706 0.0809019 0.268398 1.06167 1.55928 -0.296514 -0.396804 0.164467 0 0 0.578438 0.425408
-1.71202 0.0807402 2.10019 0.666566 1.64341 -0.480379 0.627813 0.387956 0 0 1.0126 0.0564615
-1.71803 0.0805944 1.34335 0.591988 0.720344 0.848132 1.08028 0.714022 0 0 0.946695 0.811443
-1.72402 0.0804629 1.55003 0.458859 1.71402 -0.520283 0.957222 0.414396 0 0 1.19465 0.256033
-1.73001 0.0803443 0.886381 0.64416 -1.0143 1.45138 1.38394 0.547028 0 0 0.508641 1.1552
-1.73598 0.0802373 1.36423 0.618345 1.25862 0.932917 0.152707 0.175077 0 0 0.871953 0.814464
-1.74195 0.0801408 1.54707 0.435453 0.728293 0.408434 1.47187 0.485595 0 0 0.961919 0.381647
-1.74791 0.0800538 1.08716 0.486516 0.910912 0.397963 2.04142 0.584138 0 0 1.12803 0.535729
-1.75386 0.0799753 0.809652 0.687807 1.03879 0.45999 0.822757 0.596218 0 0 0.732137 0.451793
-1.7598 0.0799045 0.49279 0.764842 0.600735 0.974792 0.661739 0.486672 0 0 0.436836 0.509542
-1.76574 0.0798407 1.11306 0.570694 -0.599766 1.33415 1.28869 0.613882 0 0 0.639529 0.897906
-1.77167 0.0797831 1.09654 0.624762 1.66141 -0.245987 1.08117 0.393918 0 0 0.917292 0.154509
-1.7776 0.0797312 1.36649 0.498378 1.7484 -0.0193606 1.25669 0.734605 0 0 1.20583 0.675861
-1.78352 0.0796844 0.645263 0.719456 1.27426 -0.453442 1.96234 0.62745 0 0 1.10581 0.482279
-1.78944 0.0796421 0.835132 0.637905 1.89399 -0.297197 1.82521 0.634201 0 0 1.33593 0.53799
-1.79536 0.079604 1.43538 0.452277 2.04609 -1.57934 1.94968 0.608956 0 0 1.48832 0.203834
-1.80127 0.0795697 1.16044 0.508468 1.27853 0.229795 1.1341 0.527932 0 0 1.04338 0.407506
-1.80718 0.0795387 1.33601 0.496691 2.06938 -1.27503 -0.486417 -0.1215 0 0 0.700138 -0.192081
-1.81308 0.0795107 -0.0266999 1.36282 1.19388 0.199771 0.674976 0.326247 0 0 0.276135 0.325136
-1.81899 0.0794855 0.767931 0.581576 -0.147291 0.854317 0.506607 0.343875 0 0 0.48062 0.751766
-1.82489 0.0794628 0.940382 0.605327 1.75539 -0.890704 0.667829 0.504952 0 0 0.680754 -0.0647581
-1.83079 0.0794423 1.35549 0.559898 0.755128 0.84759 0.896178 0.619606 0 0 0.738517 0.516954
-1.83669 0.0794238 0.990305 0.44954 1.89564 -0.185741 0.323208 0.0341668 0 0 0.806791 0.113967
-1.84258 0.0794071 1.91028 0.559136 0.667055 0.621556 1.02837 0.456589 0 0 1.07773 0.759012
-1.84848 0.0793921 0.563426 0.749715 0.886806 0.689902 0.223896 0.291854 0 0 0.564022 0.600791
-1.85437 0.0793785 0.521314 0.775507 1.82163 -1.01027 1.60771 0.609191 0 0 0.985707 0.0785198
-1.86026 0.0793663 0.258086 0.895684 0.532906 1.04373 1.21089 0.453405 0 0 0.557688 0.646876
-1.86616 0.0793553 0.931709 0.586909 0.43084 1.00177 1.35561 0.549592 0 0 0.535485 0.447108
-1.87205 0.0793453 1.32197 0.455938 1.84466 -0.731761 -0.198095 -0.305622 0 0 0.869031 0.079303
-1.87794 0.0793363 0.320824 1.11336 -0.240163 0.886474 0.410455 0.515677 0 0 0.345606 1.11413
-1.88382 0.0793282 1.00698 0.656722 1.46093 0.414461 -0.1776 0.238888 0 0 0.710854 0.533657
-1.88971 0.0793209 1.86305 0.52659 1.96774 -0.636793 2.10426 0.468751 0 0 1.46748 0.0566902
-1.8956 0.0793143 0.913877 0.616527 1.14456 0.6236 1.03521 0.616318 0 0 0.433206 0.291747
-1.90149 0.0793084 0.362586 0.976415 -1.95777 1.26955 1.08547 0.708592 0 0 -0.2297 0.614795
-1.90737 0.079303 0.750042 0.5054 -0.47364 1.11367 2.03384 0.734168 0 0 0.480498 0.576634
-1.91326 0.0792982 1.18552 0.481923 0.379711 1.13127 1.64652 0.771611 0 0 0.821356 0.715051
-1.91914 0.0792938 1.03988 0.585684 0.724515 0.945847 0.288099 0.286655 0 0 0.714954 0.713613
-1.92503 0.0792899 1.1906 0.5012 -0.252725 1.23602 1.778 0.632388 0 0 0.660897 0.578868
-1.93091 0.0792864 0.467308 0.763857 1.22982 0.410111 0.352231 0.542053 0 0 0.631681 0.704021
-1.9368 0.0792832 0.358472 1.01495 -1.94614 1.43185 1.18445 0.553007 0 0 0.0696233 1.00225
-1.94268 0.0792803 0.469649 0.865439 0.00801873 0.994948 0.996156 0.674884 0 0 0.32868 0.560011
-1.94856 0.0792777 2.12102 0.731768 0.937096 0.684833 1.50833 0.469487 0 0 1.27999 0.695077
-1.95445 0.0792753 0.831225 0.464883 0.0665874 1.27188 0.871201 0.662392 0 0 0.485624 0.70104
-1.96033 0.0792732 0.52852 0.750992 0.346955 0.898707 2.00315 0.655135 0 0 0.836762 0.944993
-1.96621 0.0792713 1.19887 0.577634 1.31652 -0.0542738 1.62931 0.763033 0 0 1.12654 0.583265
-1.9721 0.0792696 0.337029 0.771307 -0.0178982 0.922388 1.86769 0.302575 0 0 0.708878 0.94499
-1.97798 0.079268 1.32166 0.469645 0.262218 0.931789 1.33929 0.547099 0 0 0.508906 0.38842
-1.98386 0.0792666 1.81754 0.512014 1.58563 -0.359144 1.98744 0.49732 0 0 1.35495 0.255181
-1.98974 0.0792654 0.932651 0.50191 1.94818 -0.792376 0.538089 0.382211 0 0 0.950342 0.595056
-1.99563 0.0792642 0.391966 0.847817 1.12334 0.239852 1.74828 0.674099 0 0 0.806985 0.493522
-2.00151 0.0792632 1.07726 0.501115 1.27514 0.193476 2.12294 0.628669 0 0 1.12898 0.474941
-2.00739 0.0792623 0.199778 0.860173 1.69328 -0.900429 0.351696 0.710164 0 0 0.691069 0.672154
-2.01327 0.0792614 0.042644 1.09404 -0.0363174 1.0927 1.97367 0.273168 0 0 0.530339 0.668547
-2.01915 0.0792607 0.474677 0.834059 1.90389 -0.936086 1.22571 0.706185 0 0 0.649823 0.0070408
-2.02503 0.07926 1.16351 0.526102 0.772675 0.882721 1.17209 0.752128 0 0 0.791314 0.722842
-2.03092 0.0792594 1.32646 0.378122 1.41789 0.244078 0.32193 0.303284 0 0 0.753033 0.39211
-2.0368 0.0792588 0.587228 0.531814 1.73539 -0.354544 3.36584 -0.181122 0 0 1.4964 0.284168
-2.04268 0.0792583 0.11648 0.905474 -0.166436 0.91218 1.67947 0.619081 0 0 0.348251 0.638716
-2.04856 0.0792579 1.48619 0.373902 1.2315 -0.354214 0.753808 0.567639 0 0 0.908413 0.304728
-2.05444 0.0792575 1.63405 0.432579 0.761798 0.17038 -0.322919 0.136777 0 0 0.454253 0.219855
-2.06032 0.0792571 0.713299 0.845821 -0.31705 1.23351 -0.118487 0.564009 0 0 0.111421 0.799291
-2.06621 0.0792568 0.890188 0.564888 1.60707 -0.321946 -0.307398 -0.0671121 0 0 0.329866 -0.0309281
-2.07209 0.0792565 0.292006 0.733362 0.435045 0.830975 0.871322 0.662659 0 0 0.464754 0.697125
-2.07797 0.0792562 0.266396 1.00678 0.276198 1.02312 1.28543 0.898803 0 0 0.557544 0.94408
-2.08385 0.079256 0.255828 0.922005 1.26954 -0.401852 0.822727 0.659305 0 0 0.412326 0.202071
-2.08973 0.0792557 0.967373 0.557839 1.05159 0.332028 0.715536 0.656879 0 0 0.728537 0.627331
-2.09561 0.0792555 0.488612 0.783099 -1.02576 1.50702 0.427942 0.30334 0 0 -0.165448 0.600937
-2.10149 0.0792554 1.12889 0.435265 1.30587 -0.258177 0.943014 0.897145 0 0 0.905038 0.483764
-2.10737 0.0792552 0.740429 0.597665 0.584749 0.386887 0.834291 0.551595 0 0 0.588012 0.659134
-2.11326 0.0792551 0.254467 1.03946 0.300018 1.18823 0.535288 0.737983 0 0 0.237031 0.75818
-2.11914 0.0792549 0.372174 1.01358 -1.01786 1.6465 -0.182503 0.153181 0 0 -0.139214 0.996872
-2.12502 0.0792548 1.22041 0.521945 0.14742 0.934514 0.447977 0.750202 0 0 0.449258 0.633945
-2.1309 0.0792547 0.727406 0.568239 0.635234 0.681019 -0.092445 0.185798 0 0 0.41257 0.803163
-2.13678 0.0792546 0.993624 0.658925 0.551809 0.518013 0.291599 0.528526 0 0 0.500894 0.664056
-2.14266 0.0792545 1.31652 0.33241 1.01301 0.324067 2.50471 0.678268 0 0 1.09003 0.355286
-2.14854 0.0792544 1.55284 0.57128 0.10629 0.877187 1.34839 0.657684 0 0 0.465551 0.399016
-2.15442 0.0792544 0.819945 0.519819 1.98731 -0.622548 -0.796037 -0.350656 0 0 0.262961 -0.176103
-2.1603 0.0792543 0.459896 0.768573 -0.67747 1.22341 0.986899 0.655167 0 0 0.255326 1.01603
-2.16619 0.0792543 1.09918 0.531715 -0.859385 1.0899 0.0562848 0.0941558 0 0 0.179696 0.769222
-2.17207 0.0792542 0.417094 0.742647 0.730825 0.721163 -0.581537 -0.585038 0 0 0.25166 0.778512
-2.17795 0.0792542 0.970603 0.532972 1.97446 -0.574089 1.35166 0.657205 0 0 1.08325 0.377828
-2.18383 0.0792541 0.185806 0.873218 0.739201 0.631243 0.832622 0.958759 0 0 0.470649 0.840716
-2.18971 0.0792541 0.772094 0.547059 0.691126 0.795526 0.708115 0.576763 0 0 0.501084 0.587875
-2.19559 0.079254 0.873253 0.540762 1.33281 0.0311046 1.32999 0.695576 0 0 0.697639 0.329624
-2.20147 0.079254 0.214647 1.26242 0.372707 1.19142 -1.01202 -0.357561 0 0 -0.1563 0.507818
-2.20735 0.079254 0.319899 0.774988 1.24038 -0.0674044 -0.919087 -0.589769 0 0 0.29793 0.47304
-2.21323 0.079254 -0.164617 1.24391 1.51833 -0.605139 0.452512 0.573778 0 0 0.350081 0.358348
-2.21912 0.0792539 1.14879 0.518038 0.896172 0.51629 1.05824 0.56159 0 0 0.810578 0.650351
-2.225 0.0792539 0.811462 0.406381 1.52661 -0.515547 0.709652 0.855728 0 0 0.82599 0.536501
-2.23088 0.0792539 0.1614 1.20439 1.83003 -1.04561 0.916666 0.681312 0 0 0.713665 0.440796
-2.23676 0.0792539 0.352306 0.747985 -0.771601 1.35983 -0.423061 0.0961476 0 0 -0.203297 0.738786
-2.24264 0.0792539 0.351769 0.807884 1.82512 -1.52932 0.855258 0.644144 0 0 0.700488 0.150846
-2.24852 0.0792539 1.28403 0.443463 0.37975 0.649406 2.06525 0.405683 0 0 0.904334 0.516901
-2.2544 0.0792538 0.68556 0.547628 0.672161 0.295519 -0.764108 -0.0263755 0 0 0.046241 0.214526
-2.26028 0.0792538 0.354797 0.859537 0.255971 0.32248 -0.0342869 0.345373 0 0 0.187528 0.679961
-2.26616 0.0792538 0.694116 0.583648 0.360526 0.646367 1.34104 0.803563 0 0 0.57532 0.599548
-2.27205 0.0792538 0.174322 0.969889 1.12161 -0.0828112 -0.773855 0.0564937 0 0 -0.0764912 0.201016
-2.27793 0.0792538 0.790469 0.565523 0.577595 0.907774 -0.568242 0.239523 0 0 -0.00280828 0.420935
-2.28381 0.0792538 0.170541 0.969092 0.114187 0.717493 0.20661 0.399561 0 0 0.0504633 0.578231
-2.28969 0.0792538 0.221393 0.974394 1.59871 -0.804344 1.14439 0.808218 0 0 0.663985 0.338644
